Mode,Start_Time,Animal,Unit,Weight
1,2025-07-22 00:02:47.736786,19647181251,3,24.61
1,2025-07-22 00:02:47.939747,19647181251,3,26.16
1,2025-07-22 00:02:48.142896,19647181251,3,27.14
1,2025-07-22 00:02:48.346517,19647181251,3,28.9
1,2025-07-22 00:02:48.548800,19647181251,3,27.09
1,2025-07-22 00:02:48.751936,19647181251,3,27.73
1,2025-07-22 00:02:48.955042,19647181251,3,27.08
1,2025-07-22 00:02:49.157736,19647181251,3,27.59
1,2025-07-22 00:02:49.359359,19647181251,3,28.16
1,2025-07-22 00:02:49.562623,19647181251,3,27.15
1,2025-07-22 00:03:05.726194,1111111248249,3,19.72
1,2025-07-22 00:03:05.928466,1111111248249,3,25.15
1,2025-07-22 00:03:06.131912,1111111248249,3,26.18
1,2025-07-22 00:03:06.333898,1111111248249,3,24.32
1,2025-07-22 00:03:06.536578,1111111248249,3,27.17
1,2025-07-22 00:03:06.739346,1111111248249,3,25.71
1,2025-07-22 00:03:06.941066,1111111248249,3,26.34
1,2025-07-22 00:03:07.143876,1111111248249,3,27.28
1,2025-07-22 00:03:07.346593,1111111248249,3,25.89
1,2025-07-22 00:03:07.549831,1111111248249,3,25.91
1,2025-07-22 00:03:08.109064,1111111248249,3,25.61
1,2025-07-22 00:03:08.311342,1111111248249,3,25.37
1,2025-07-22 00:03:08.513578,1111111248249,3,25.73
1,2025-07-22 00:03:08.716554,1111111248249,3,25.57
1,2025-07-22 00:03:08.919926,1111111248249,3,25.76
1,2025-07-22 00:03:09.122311,1111111248249,3,25.26
1,2025-07-22 00:03:09.325875,1111111248249,3,25.74
1,2025-07-22 00:03:09.528929,1111111248249,3,25.66
1,2025-07-22 00:03:09.731997,1111111248249,3,24.9
1,2025-07-22 00:03:09.935028,1111111248249,3,22.47
1,2025-07-22 00:03:24.914528,1964711262,3,26.57
1,2025-07-22 00:03:25.116855,1964711262,3,10.98
1,2025-07-22 00:03:25.319219,1964711262,3,11.46
1,2025-07-22 00:03:25.521924,1964711262,3,10.69
1,2025-07-22 00:03:25.724328,1964711262,3,11.38
1,2025-07-22 00:03:25.926779,1964711262,3,11.98
1,2025-07-22 00:03:26.129184,1964711262,3,11.9
1,2025-07-22 00:03:26.331814,1964711262,3,12.16
1,2025-07-22 00:03:26.534778,1964711262,3,13.48
1,2025-07-22 00:03:26.737576,1964711262,3,14.23
1,2025-07-22 00:03:27.127976,1964711262,3,30.32
1,2025-07-22 00:03:27.330341,1964711262,3,31.12
1,2025-07-22 00:03:27.533266,1964711262,3,18.87
1,2025-07-22 00:03:27.735792,1964711262,3,16.03
1,2025-07-22 00:03:27.938269,1964711262,3,11.3
1,2025-07-22 00:03:28.140652,1964711262,3,8.83
1,2025-07-22 00:03:28.343075,1964711262,3,-0.51
1,2025-07-22 00:03:28.546065,1964711262,3,-0.55
1,2025-07-22 00:03:28.749050,1964711262,3,0.08
1,2025-07-22 00:03:28.951618,1964711262,3,0.01
1,2025-07-22 00:04:06.208885,1111110192192,3,20.47
1,2025-07-22 00:04:06.411090,1111110192192,3,25.28
1,2025-07-22 00:04:06.613485,1111110192192,3,26.14
1,2025-07-22 00:04:06.816827,1111110192192,3,25.91
1,2025-07-22 00:04:07.019666,1111110192192,3,27.02
1,2025-07-22 00:04:07.222977,1111110192192,3,24.76
1,2025-07-22 00:04:07.426167,1111110192192,3,25.33
1,2025-07-22 00:04:07.629154,1111110192192,3,25.93
1,2025-07-22 00:04:07.832097,1111110192192,3,24.72
1,2025-07-22 00:04:08.033958,1111110192192,3,25.22
1,2025-07-22 00:04:08.624768,1111110192192,3,25.93
1,2025-07-22 00:04:08.827626,1111110192192,3,16.93
1,2025-07-22 00:04:09.029701,1111110192192,3,13.42
1,2025-07-22 00:04:09.232730,1111110192192,3,10.4
1,2025-07-22 00:04:09.435549,1111110192192,3,11.45
1,2025-07-22 00:04:09.638228,1111110192192,3,11.07
1,2025-07-22 00:04:09.840037,1111110192192,3,6.21
1,2025-07-22 00:04:10.045252,1111110192192,3,-0.25
1,2025-07-22 00:04:10.247498,1111110192192,3,7.05
1,2025-07-22 00:04:10.450592,1111110192192,3,18.05
1,2025-07-22 00:04:10.990097,1111110190190,3,24.37
1,2025-07-22 00:04:11.193099,1111110190190,3,24.27
1,2025-07-22 00:04:11.396333,1111110190190,3,11.65
1,2025-07-22 00:04:11.599279,1111110190190,3,12.28
