Mode,Start_Time,Animal,Unit,Weight
1,2025-07-17 00:01:19.268604,11111116362,3,22.33
1,2025-07-17 00:01:19.470866,11111116362,3,24.89
1,2025-07-17 00:01:19.673136,11111116362,3,22.99
1,2025-07-17 00:01:19.876035,11111116362,3,27.99
1,2025-07-17 00:01:20.077788,11111116362,3,28.19
1,2025-07-17 00:01:20.280728,11111116362,3,30.27
1,2025-07-17 00:01:20.483219,11111116362,3,30.45
1,2025-07-17 00:01:20.684762,11111116362,3,29.94
1,2025-07-17 00:01:20.888585,11111116362,3,30.02
1,2025-07-17 00:01:21.091672,11111116362,3,28.34
1,2025-07-17 00:01:23.551010,1964711262,3,18.86
1,2025-07-17 00:01:23.753632,1964711262,3,26.72
1,2025-07-17 00:01:23.955786,1964711262,3,26.87
1,2025-07-17 00:01:24.159181,1964711262,3,26.78
1,2025-07-17 00:01:24.360948,1964711262,3,26.29
1,2025-07-17 00:01:24.563974,1964711262,3,26.14
1,2025-07-17 00:01:24.767050,1964711262,3,26.06
1,2025-07-17 00:01:24.968717,1964711262,3,28.38
1,2025-07-17 00:01:25.171655,1964711262,3,26.89
1,2025-07-17 00:01:25.376115,1964711262,3,25.62
1,2025-07-17 00:07:38.558659,1111111248249,3,25.68
1,2025-07-17 00:07:38.760636,1111111248249,3,25.5
1,2025-07-17 00:07:38.963602,1111111248249,3,25.46
1,2025-07-17 00:07:39.166348,1111111248249,3,24.33
1,2025-07-17 00:07:39.368977,1111111248249,3,14.91
1,2025-07-17 00:07:39.571684,1111111248249,3,13.64
1,2025-07-17 00:07:39.774035,1111111248249,3,10.71
1,2025-07-17 00:07:39.976720,1111111248249,3,6.58
1,2025-07-17 00:07:40.179660,1111111248249,3,4.53
1,2025-07-17 00:07:40.382179,1111111248249,3,0.05
1,2025-07-17 00:09:30.051109,19647181251,3,25.72
1,2025-07-17 00:09:30.254225,19647181251,3,24.89
1,2025-07-17 00:09:30.456147,19647181251,3,25.88
1,2025-07-17 00:09:30.658910,19647181251,3,15.67
1,2025-07-17 00:09:30.861490,19647181251,3,15.67
1,2025-07-17 00:09:31.064012,19647181251,3,11.35
1,2025-07-17 00:09:31.266501,19647181251,3,7.5
1,2025-07-17 00:09:31.468404,19647181251,3,6.74
1,2025-07-17 00:09:31.671449,19647181251,3,3.74
1,2025-07-17 00:09:31.874456,19647181251,3,-0.45
1,2025-07-17 00:10:25.713426,11111114041,3,24.78
1,2025-07-17 00:10:25.916034,11111114041,3,21.12
1,2025-07-17 00:10:26.118867,11111114041,3,28.19
1,2025-07-17 00:10:26.321611,11111114041,3,28.55
1,2025-07-17 00:10:26.524406,11111114041,3,28.23
1,2025-07-17 00:10:26.727045,11111114041,3,29.23
1,2025-07-17 00:10:26.929152,11111114041,3,27.87
1,2025-07-17 00:10:27.131309,11111114041,3,29.68
1,2025-07-17 00:10:27.333577,11111114041,3,29.65
1,2025-07-17 00:10:27.535799,11111114041,3,28.76
1,2025-07-17 00:10:27.868231,11111114041,3,28.28
1,2025-07-17 00:10:28.070502,11111114041,3,27.72
1,2025-07-17 00:10:28.272957,11111114041,3,27.97
1,2025-07-17 00:10:28.475213,11111114041,3,27.84
1,2025-07-17 00:10:28.678721,11111114041,3,26.56
1,2025-07-17 00:10:28.881636,11111114041,3,23.7
1,2025-07-17 00:10:29.084462,11111114041,3,18.79
1,2025-07-17 00:10:29.287267,11111114041,3,18.41
1,2025-07-17 00:10:29.489999,11111114041,3,14.58
1,2025-07-17 00:10:29.692809,11111114041,3,10.75
1,2025-07-17 00:12:02.090043,11111114041,3,21.61
1,2025-07-17 00:12:02.292139,11111114041,3,24.46
1,2025-07-17 00:12:02.494868,11111114041,3,24.98
1,2025-07-17 00:12:02.697139,11111114041,3,28.89
1,2025-07-17 00:12:02.899540,11111114041,3,29.24
1,2025-07-17 00:12:03.102466,11111114041,3,29.15
1,2025-07-17 00:12:03.304945,11111114041,3,28.48
1,2025-07-17 00:12:03.507250,11111114041,3,28.4
1,2025-07-17 00:12:03.709379,11111114041,3,28.49
1,2025-07-17 00:12:03.912037,11111114041,3,27.99
1,2025-07-17 00:12:04.538749,11111114041,3,28.25
1,2025-07-17 00:12:04.741434,11111114041,3,27.73
1,2025-07-17 00:12:04.944543,11111114041,3,27.9
1,2025-07-17 00:12:05.147218,11111114041,3,28.15
1,2025-07-17 00:12:05.349760,11111114041,3,22.54
1,2025-07-17 00:12:05.551546,11111114041,3,26.83
1,2025-07-17 00:12:05.755030,11111114041,3,16.24
1,2025-07-17 00:12:05.956925,11111114041,3,17.42
1,2025-07-17 00:12:06.161509,11111114041,3,16.62
1,2025-07-17 00:12:06.363947,11111114041,3,14.8
1,2025-07-17 00:12:09.319266,1111111248249,3,25.46
1,2025-07-17 00:12:09.521283,1111111248249,3,5.9
1,2025-07-17 00:12:09.723622,1111111248249,3,6.53
1,2025-07-17 00:12:09.925222,1111111248249,3,6.77
1,2025-07-17 00:12:10.127563,1111111248249,3,6.9
1,2025-07-17 00:12:10.330267,1111111248249,3,6.84
1,2025-07-17 00:12:10.532708,1111111248249,3,7.07
1,2025-07-17 00:12:10.735441,1111111248249,3,6.87
1,2025-07-17 00:12:10.938208,1111111248249,3,7.18
1,2025-07-17 00:12:11.140820,1111111248249,3,6.5
1,2025-07-17 00:12:11.702573,1111111248249,3,25.21
1,2025-07-17 00:12:11.904853,1111111248249,3,18.92
1,2025-07-17 00:12:12.107281,1111111248249,3,15.05
1,2025-07-17 00:12:12.309546,1111111248249,3,14.45
1,2025-07-17 00:12:12.511692,1111111248249,3,9.52
1,2025-07-17 00:12:12.714294,1111111248249,3,4.6
1,2025-07-17 00:12:12.916103,1111111248249,3,1.17
1,2025-07-17 00:12:13.119112,1111111248249,3,-0.34
1,2025-07-17 00:12:13.321739,1111111248249,3,0.1
