Mode,Start_Time,Animal,Unit,Licks1,Licks2,Drinks1,Drinks2
1,2025-07-21 23:57:48.616646,1111110252252,2,0,28568,0,373
1,2025-07-22 00:04:12.111505,1111110252252,2,22767,0,335,0
1,2025-07-22 00:10:04.393309,19644148217,2,1,11294,0,145
1,2025-07-22 00:12:33.595444,19644148217,2,0,14718,0,186
1,2025-07-22 00:15:45.668938,19647186244,2,0,521,0,9
1,2025-07-21 23:41:46.772449,1111110209209,1,0,9,0,2
1,2025-07-22 00:18:38.487374,1111110209209,1,0,0,0,0
1,2025-07-22 00:15:56.855318,19647186244,2,0,-25265,0,497
1,2025-07-22 00:24:27.259330,19644148217,2,0,-12830,0,754
1,2025-07-22 00:37:25.160813,19644148217,2,13447,0,198,0
1,2025-07-22 00:19:06.323140,1111110209209,1,0,1,0,1
1,2025-07-22 00:40:58.985504,19644148217,1,1,0,1,0
1,2025-07-22 00:41:10.711971,19644148217,1,0,0,0,0
1,2025-07-22 00:41:12.501783,19644148217,1,0,0,0,0
1,2025-07-22 00:41:20.524035,19644148217,1,0,0,0,0
1,2025-07-22 00:40:50.531365,1111110252252,2,672,0,974,0
1,2025-07-22 00:57:42.392118,1111111134135,2,1,1020,0,18
1,2025-07-22 00:43:45.124589,19644148217,1,0,0,0,0
1,2025-07-22 01:07:42.709792,19645782,1,0,4,0,2
1,2025-07-22 01:07:49.867332,1102000232,1,0,1,0,0
1,2025-07-22 00:58:01.355355,1111111134135,2,0,25353,0,1248
1,2025-07-22 01:19:28.382625,1111111134135,2,-9256,1,754,0
1,2025-07-22 01:32:24.690383,19647186244,2,1,-5654,0,828
1,2025-07-22 01:07:49.900226,1111111151150,1,4,1,0,0
1,2025-07-22 01:46:38.028856,19647186244,2,18952,1,255,0
1,2025-07-22 01:50:18.644437,19647186244,1,0,83,0,9
1,2025-07-22 01:51:01.435893,19647186244,2,-2335,0,827,0
1,2025-07-22 02:05:14.477069,1102000232,2,2,0,0,0
1,2025-07-22 02:01:24.751085,1111110209209,1,0,0,0,0
1,2025-07-22 02:12:36.070116,1111110209209,1,0,0,0,0
1,2025-07-22 02:05:14.508170,19647186244,2,1,-30809,0,479
1,2025-07-22 02:12:57.228522,1111110209209,1,0,4,0,1
1,2025-07-22 02:13:49.274673,1111110209209,1,0,2,0,1
1,2025-07-22 02:16:25.520935,1111110209209,1,0,1,0,1
