Mode,Start_Time,Animal,Unit,Weight
1,2025-08-12 00:01:53.103944,1111110209209,3,21.7
1,2025-08-12 00:01:53.307359,1111110209209,3,26.47
1,2025-08-12 00:01:53.510878,1111110209209,3,24.62
1,2025-08-12 00:01:53.714202,1111110209209,3,25.08
1,2025-08-12 00:01:53.917788,1111110209209,3,23.54
1,2025-08-12 00:01:54.123667,1111110209209,3,11.66
1,2025-08-12 00:01:54.327058,1111110209209,3,11.14
1,2025-08-12 00:01:54.531895,1111110209209,3,5.68
1,2025-08-12 00:01:54.735807,1111110209209,3,4.7
1,2025-08-12 00:01:54.938765,1111110209209,3,0.14
1,2025-08-12 00:02:52.468538,1111111134135,3,20.31
1,2025-08-12 00:02:52.671285,1111111134135,3,25.71
1,2025-08-12 00:02:52.873899,1111111134135,3,28.35
1,2025-08-12 00:02:53.077552,1111111134135,3,28.86
1,2025-08-12 00:02:53.280759,1111111134135,3,27.8
1,2025-08-12 00:02:53.483865,1111111134135,3,29.16
1,2025-08-12 00:02:53.686772,1111111134135,3,19.9
1,2025-08-12 00:02:53.889586,1111111134135,3,11.0
1,2025-08-12 00:02:54.092902,1111111134135,3,4.15
1,2025-08-12 00:02:54.295919,1111111134135,3,3.18
1,2025-08-12 00:03:08.969408,19647186244,3,21.16
1,2025-08-12 00:03:09.172431,19647186244,3,28.25
1,2025-08-12 00:03:09.375131,19647186244,3,27.67
1,2025-08-12 00:03:09.578797,19647186244,3,26.81
1,2025-08-12 00:03:09.781431,19647186244,3,21.23
1,2025-08-12 00:03:09.984268,19647186244,3,23.18
1,2025-08-12 00:03:10.187520,19647186244,3,16.08
1,2025-08-12 00:03:10.390706,19647186244,3,9.53
1,2025-08-12 00:03:10.594157,19647186244,3,3.58
1,2025-08-12 00:03:10.798101,19647186244,3,5.61
1,2025-08-12 00:07:05.972329,196471892,3,27.02
1,2025-08-12 00:07:06.176252,196471892,3,30.55
1,2025-08-12 00:07:06.380244,196471892,3,29.93
1,2025-08-12 00:07:06.584169,196471892,3,29.53
1,2025-08-12 00:07:06.787899,196471892,3,32.18
1,2025-08-12 00:07:06.992696,196471892,3,47.28
1,2025-08-12 00:07:07.197048,196471892,3,35.09
1,2025-08-12 00:07:07.400823,196471892,3,18.26
1,2025-08-12 00:07:07.604988,196471892,3,16.54
1,2025-08-12 00:07:07.810175,196471892,3,5.0
1,2025-08-12 00:08:09.840229,1111111151150,3,20.35
1,2025-08-12 00:08:10.044366,1111111151150,3,25.64
1,2025-08-12 00:08:10.248444,1111111151150,3,24.14
1,2025-08-12 00:08:10.451714,1111111151150,3,28.81
1,2025-08-12 00:08:10.654408,1111111151150,3,29.08
1,2025-08-12 00:08:10.857415,1111111151150,3,29.37
1,2025-08-12 00:08:11.060225,1111111151150,3,28.29
1,2025-08-12 00:08:11.264400,1111111151150,3,20.91
1,2025-08-12 00:08:11.467409,1111111151150,3,13.04
1,2025-08-12 00:08:11.669993,1111111151150,3,19.47
1,2025-08-12 00:09:29.508368,1111110209209,3,18.54
1,2025-08-12 00:09:29.711068,1111110209209,3,15.0
1,2025-08-12 00:09:29.913678,1111110209209,3,22.8
1,2025-08-12 00:09:30.117410,1111110209209,3,26.93
1,2025-08-12 00:09:30.321485,1111110209209,3,27.48
1,2025-08-12 00:09:30.524317,1111110209209,3,26.43
1,2025-08-12 00:09:30.727211,1111110209209,3,26.38
1,2025-08-12 00:09:30.930392,1111110209209,3,17.72
1,2025-08-12 00:09:31.133799,1111110209209,3,14.62
1,2025-08-12 00:09:31.336810,1111110209209,3,13.54
1,2025-08-12 00:11:30.866513,1111111134135,3,20.48
1,2025-08-12 00:11:31.070797,1111111134135,3,27.39
1,2025-08-12 00:11:31.275416,1111111134135,3,29.01
1,2025-08-12 00:11:31.478844,1111111134135,3,28.36
1,2025-08-12 00:11:31.684382,1111111134135,3,23.74
1,2025-08-12 00:11:31.887281,1111111134135,3,15.57
1,2025-08-12 00:11:32.091397,1111111134135,3,17.6
1,2025-08-12 00:11:32.295384,1111111134135,3,10.57
1,2025-08-12 00:11:32.499486,1111111134135,3,4.05
1,2025-08-12 00:11:32.702710,1111111134135,3,0.05
1,2025-08-12 00:13:00.166138,19645782,3,24.23
1,2025-08-12 00:13:00.369561,19645782,3,26.0
1,2025-08-12 00:13:00.573262,19645782,3,26.35
1,2025-08-12 00:13:00.777170,19645782,3,41.44
1,2025-08-12 00:13:00.980376,19645782,3,34.82
1,2025-08-12 00:13:01.183766,19645782,3,14.39
1,2025-08-12 00:13:01.386651,19645782,3,13.75
1,2025-08-12 00:13:01.590334,19645782,3,12.61
1,2025-08-12 00:13:01.793582,19645782,3,12.93
1,2025-08-12 00:13:01.996430,19645782,3,8.44
1,2025-08-12 00:29:07.843503,19644148217,3,23.66
1,2025-08-12 00:29:08.046306,19644148217,3,20.36
1,2025-08-12 00:29:08.249208,19644148217,3,23.01
1,2025-08-12 00:29:08.451955,19644148217,3,28.29
1,2025-08-12 00:29:08.656168,19644148217,3,28.56
1,2025-08-12 00:29:08.860285,19644148217,3,20.82
1,2025-08-12 00:29:09.064373,19644148217,3,10.89
1,2025-08-12 00:29:09.267270,19644148217,3,3.65
1,2025-08-12 00:29:09.470064,19644148217,3,4.32
1,2025-08-12 00:29:09.674108,19644148217,3,-0.1
1,2025-08-12 00:29:12.451448,1111110252252,3,24.18
1,2025-08-12 00:29:12.654250,1111110252252,3,18.49
1,2025-08-12 00:29:12.860012,1111110252252,3,17.37
1,2025-08-12 00:29:13.062757,1111110252252,3,25.48
1,2025-08-12 00:29:13.265448,1111110252252,3,24.85
1,2025-08-12 00:29:13.469624,1111110252252,3,27.14
1,2025-08-12 00:29:13.672422,1111110252252,3,22.51
1,2025-08-12 00:29:13.876490,1111110252252,3,16.55
1,2025-08-12 00:29:14.079308,1111110252252,3,13.14
1,2025-08-12 00:29:14.281999,1111110252252,3,6.64
1,2025-08-12 00:52:19.804733,1111110252252,3,21.12
1,2025-08-12 00:52:20.008314,1111110252252,3,17.14
1,2025-08-12 00:52:20.212130,1111110252252,3,27.69
1,2025-08-12 00:52:20.416195,1111110252252,3,25.68
1,2025-08-12 00:52:20.620080,1111110252252,3,27.38
1,2025-08-12 00:52:20.824605,1111110252252,3,25.15
1,2025-08-12 00:52:21.027807,1111110252252,3,18.32
1,2025-08-12 00:52:21.231495,1111110252252,3,11.23
1,2025-08-12 00:52:21.436930,1111110252252,3,10.81
1,2025-08-12 00:52:21.641853,1111110252252,3,3.95
1,2025-08-12 01:24:43.939332,1920719207,5,0
1,2025-08-12 01:28:21.197258,1111110252252,3,24.36
1,2025-08-12 01:28:21.401127,1111110252252,3,18.29
1,2025-08-12 01:28:21.605168,1111110252252,3,27.24
1,2025-08-12 01:28:21.808031,1111110252252,3,26.17
1,2025-08-12 01:28:22.010905,1111110252252,3,25.3
1,2025-08-12 01:28:22.214421,1111110252252,3,20.44
1,2025-08-12 01:28:22.417398,1111110252252,3,19.27
1,2025-08-12 01:28:22.620381,1111110252252,3,14.16
1,2025-08-12 01:28:22.823405,1111110252252,3,13.72
1,2025-08-12 01:28:23.026223,1111110252252,3,6.21
1,2025-08-12 01:32:24.524800,192012400188,5,0
1,2025-08-12 02:28:56.750180,19647186244,3,21.22
1,2025-08-12 02:28:56.954281,19647186244,3,27.78
1,2025-08-12 02:28:57.158254,19647186244,3,27.0
1,2025-08-12 02:28:57.361209,19647186244,3,32.72
1,2025-08-12 02:28:57.564023,19647186244,3,18.43
1,2025-08-12 02:28:57.766908,19647186244,3,11.52
1,2025-08-12 02:28:57.970148,19647186244,3,10.63
1,2025-08-12 02:28:58.173491,19647186244,3,3.93
1,2025-08-12 02:28:58.376678,19647186244,3,3.77
1,2025-08-12 02:28:58.579901,19647186244,3,-0.31
1,2025-08-12 02:31:01.779333,1111110209209,3,17.94
1,2025-08-12 02:31:01.982525,1111110209209,3,20.96
1,2025-08-12 02:31:02.186436,1111110209209,3,23.05
1,2025-08-12 02:31:02.390879,1111110209209,3,27.63
1,2025-08-12 02:31:02.594745,1111110209209,3,26.96
1,2025-08-12 02:31:02.798553,1111110209209,3,11.95
1,2025-08-12 02:31:03.003038,1111110209209,3,13.12
1,2025-08-12 02:31:03.205515,1111110209209,3,5.93
1,2025-08-12 02:31:03.408719,1111110209209,3,0.69
1,2025-08-12 02:31:03.612374,1111110209209,3,-0.02
1,2025-08-12 02:36:56.943580,19647186244,3,21.72
1,2025-08-12 02:36:57.147827,19647186244,3,24.31
1,2025-08-12 02:36:57.351417,19647186244,3,27.78
1,2025-08-12 02:36:57.555897,19647186244,3,27.72
1,2025-08-12 02:36:57.759003,19647186244,3,27.74
1,2025-08-12 02:36:57.962318,19647186244,3,15.82
1,2025-08-12 02:36:58.165822,19647186244,3,14.71
1,2025-08-12 02:36:58.369097,19647186244,3,4.95
1,2025-08-12 02:36:58.572478,19647186244,3,2.0
1,2025-08-12 02:36:58.774992,19647186244,3,0.31
1,2025-08-12 02:37:50.286344,1111110209209,3,16.8
1,2025-08-12 02:37:50.490132,1111110209209,3,24.87
1,2025-08-12 02:37:50.693853,1111110209209,3,26.69
1,2025-08-12 02:37:50.896834,1111110209209,3,21.13
1,2025-08-12 02:37:51.099503,1111110209209,3,13.71
1,2025-08-12 02:37:51.302086,1111110209209,3,14.72
1,2025-08-12 02:37:51.504828,1111110209209,3,8.19
1,2025-08-12 02:37:51.707662,1111110209209,3,4.67
1,2025-08-12 02:37:51.910472,1111110209209,3,0.03
1,2025-08-12 02:37:52.113231,1111110209209,3,0.14
1,2025-08-12 02:40:36.261129,19645782,3,24.14
1,2025-08-12 02:40:36.463950,19645782,3,23.95
1,2025-08-12 02:40:36.666584,19645782,3,28.61
1,2025-08-12 02:40:36.869382,19645782,3,26.24
1,2025-08-12 02:40:37.072406,19645782,3,31.32
1,2025-08-12 02:40:37.275353,19645782,3,21.95
1,2025-08-12 02:40:37.478808,19645782,3,17.71
1,2025-08-12 02:40:37.682387,19645782,3,13.9
1,2025-08-12 02:40:37.886674,19645782,3,8.35
1,2025-08-12 02:40:38.089727,19645782,3,6.91
1,2025-08-12 02:43:46.375852,19644148217,3,22.44
1,2025-08-12 02:43:46.578783,19644148217,3,25.97
1,2025-08-12 02:43:46.782800,19644148217,3,28.1
1,2025-08-12 02:43:46.986053,19644148217,3,24.41
1,2025-08-12 02:43:47.189222,19644148217,3,14.95
1,2025-08-12 02:43:47.393265,19644148217,3,12.71
1,2025-08-12 02:43:47.596367,19644148217,3,4.0
1,2025-08-12 02:43:47.799416,19644148217,3,7.82
1,2025-08-12 02:43:48.002670,19644148217,3,0.79
1,2025-08-12 02:43:48.205703,19644148217,3,0.59
1,2025-08-12 02:46:10.468287,1111110209209,3,20.36
1,2025-08-12 02:46:10.672351,1111110209209,3,21.69
1,2025-08-12 02:46:10.875567,1111110209209,3,25.78
1,2025-08-12 02:46:11.078938,1111110209209,3,27.66
1,2025-08-12 02:46:11.282343,1111110209209,3,16.79
1,2025-08-12 02:46:11.485493,1111110209209,3,14.83
1,2025-08-12 02:46:11.689695,1111110209209,3,13.15
1,2025-08-12 02:46:11.894047,1111110209209,3,4.56
1,2025-08-12 02:46:12.098530,1111110209209,3,6.36
1,2025-08-12 02:46:12.302718,1111110209209,3,1.32
1,2025-08-12 03:14:26.851506,7192719200,5,0
1,2025-08-12 03:52:31.383363,1111111134135,3,25.78
1,2025-08-12 03:52:31.586427,1111111134135,3,18.08
1,2025-08-12 03:52:31.789583,1111111134135,3,24.04
1,2025-08-12 03:52:31.992664,1111111134135,3,28.0
1,2025-08-12 03:52:32.196144,1111111134135,3,28.25
1,2025-08-12 03:52:32.399319,1111111134135,3,26.67
1,2025-08-12 03:52:32.603124,1111111134135,3,31.18
1,2025-08-12 03:52:32.806558,1111111134135,3,16.16
1,2025-08-12 03:52:33.010239,1111111134135,3,12.04
1,2025-08-12 03:52:33.213210,1111111134135,3,6.4
1,2025-08-12 04:34:19.652275,1111110252252,3,21.17
